Reaction,Level 1: Baseline GEM_FVi,Level 1: Baseline GEM_FVR,Level 2: Single Enzyme_FVi,Level 2: Single Enzyme_FVR,Level 3a: + Isoenzymes_FVi,Level 3a: + Isoenzymes_FVR,Level 3b: + Complexes_FVi,Level 3b: + Complexes_FVR,Level 3c: + Promiscuous_FVi,Level 3c: + Promiscuous_FVR,Level 4: All Constraints_FVi,Level 4: All Constraints_FVR,Level 5: Post-Tuned_FVi,Level 5: Post-Tuned_FVR
HKNDDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGPS,0.8601307889836509,0.5518106508874774,-2.0180377151542966e-10,2.012030125841946e-11,1.695658033661382e-10,1.6906101518721073e-11,-2.0180377151542966e-10,2.012030125841946e-11,0.008365770835749003,4.5446174159200284e-05,0.9991370944656695,5.179967248025496,0.0022048065949633044,4.345746137679983e-05
ASCBtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRFGS,0.7311186711589385,1.923058261231101,-9.677924263048722e-11,7.605099883178923e-11,8.867684827804892e-11,6.968398080786642e-11,-9.677924263048722e-11,7.605099883178923e-11,0.0006981773533874962,2.9649216720099847e-05,0.9979471477654819,17.132325128869454,0.00024086839310104465,3.734540709748879e-05
EX_gtp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPDDA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREHpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPE120tipp,0.9999999999785537,4.66279999999884,0.0,0.0,0.5677223891802273,1.31332822929135e-10,0.0,0.0,0.9999979451615381,4.86655259613908e-05,0.9999999999977058,43.589462539797694,0.999998706320688,7.72988094454694e-05
SKMtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTPS2,0.9684762359375992,7.785101838799282,-3.0191900128686248e-09,8.500830039892548e-10,2.5368699595164054e-09,7.142809954618912e-10,-3.0191900128686248e-09,8.500830039892548e-10,0.02091267973531908,0.0003249352421634006,0.999826131469813,72.64979067565973,0.004694689327951327,0.0002619699542991995
EX_lcts_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
